344,20180701,  215
344,20180702,  208
344,20180703,  199
344,20180704,  188
344,20180705,  179
344,20180706,  196
344,20180707,  193
344,20180708,  187
344,20180709,  175
344,20180710,  156
344,20180711,  172
344,20180712,  176
344,20180713,  185
344,20180714,  188
344,20180715,  214
344,20180716,  234
344,20180717,  194
344,20180718,  192
344,20180719,  190
344,20180720,  193
344,20180721,  200
344,20180722,  205
344,20180723,  228
344,20180724,  242
344,20180725,  243
344,20180726,  267
344,20180727,  285
344,20180728,  206
344,20180729,  219
344,20180730,  232
344,20180731,  203
